# Local branches/worktrees compact index
Generated: 2026-07-22T23:08:54+04:00
Repo: /home/sjors/dev/astro-plan
Branches total: 515 | Attached: 12 | Orphaned: 503
Detached worktree snapshots: 3
Worktrees total: 15 | Attached: 12 | Detached: 3

## 1) Branches
idx | state | branch | upstream | status | file_count | sample_changed_paths
1 | orphaned | 037-ipc-wrapper-removal | origin/main | [ahead 429, behind 77] | 2326 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
2 | orphaned | 037-ui-journeys-inbox | origin/037-ui-journeys-inbox | [behind 7] | 9 | .github/workflows/ci.yml, apps/desktop/src-tauri/src/commands/inbox.rs, apps/desktop/src/features/inbox/InboxPage.tsx
3 | orphaned | 037-ui-journeys-targets | origin/037-ui-journeys-targets | (none) | 0 | (none)
4 | orphaned | 044-targets-planner-track-b | origin/044-targets-planner-track-b | (none) | 0 | (none)
5 | orphaned | 044-us3-site-management | origin/044-us3-site-management | (none) | 0 | (none)
6 | orphaned | 048-complete-per-frame-inventory | origin/048-complete-per-frame-inventory | (none) | 0 | (none)
7 | orphaned | 048-us5-calibration-missing-flag | origin/048-us5-calibration-missing-flag | (none) | 0 | (none)
8 | orphaned | 049-us2-profile-layout | origin/049-us2-profile-layout | (none) | 0 | (none)
9 | orphaned | 051-foundation | origin/051-foundation | (none) | 0 | (none)
10 | orphaned | 051-impl-cache | origin/051-tauri-shell-integration | [ahead 1, behind 199] | 295 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
11 | orphaned | 051-shell-foundation | origin/051-shell-foundation | (none) | 0 | (none)
12 | orphaned | 051-tauri-shell-integration | origin/main | [ahead 443, behind 77] | 2203 | .agents/skills/architecture-decision-records/SKILL.md, .agents/skills/audit-steering/SKILL.md, .agents/skills/audit-steering/references/measurement.md
13 | orphaned | 051-us1-single-instance | origin/051-us1-single-instance | (none) | 0 | (none)
14 | orphaned | 051-us10-updater-wiring | origin/051-us10-updater-wiring | (none) | 0 | (none)
15 | orphaned | 051-us2-favourites-db | origin/051-us2-favourites-db | (none) | 0 | (none)
16 | orphaned | 051-us3-cleanup-overrides | origin/051-us3-cleanup-overrides | (none) | 0 | (none)
17 | orphaned | 051-us4-us5-us7-shell-polish | origin/051-us4-us5-us7-shell-polish | (none) | 0 | (none)
18 | orphaned | 051-us6-theme-sync | origin/051-us6-theme-sync | (none) | 0 | (none)
19 | orphaned | 052-p1-facade-cache | origin/052-p1-facade-cache | (none) | 0 | (none)
20 | orphaned | 052-p2-dual-lookup | origin/052-p2-dual-lookup | (none) | 0 | (none)
21 | orphaned | 052-p2ux-search-more-hybrid | origin/052-p2ux-search-more-hybrid | (none) | 0 | (none)
22 | orphaned | 052-p3-cone-search | origin/052-p3-cone-search | (none) | 0 | (none)
23 | orphaned | 052-simbad-caching-dual-lookup-cone-search | origin/052-simbad-caching-dual-lookup-cone-search | (none) | 0 | (none)
24 | orphaned | 057-branding-splash | origin/057-branding-splash | (none) | 0 | (none)
25 | orphaned | 060-selectable-app-language | origin/main | [ahead 1005, behind 77] | 510 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
26 | orphaned | 061-p0-settings-key | origin/061-p0-settings-key | (none) | 0 | (none)
27 | orphaned | 061-p1-locale-runtime | origin/061-p1-locale-runtime | [behind 6] | 4 | .typos.toml, apps/desktop/messages/pt-BR.json, apps/desktop/src/data/locale.persistence.test.ts
28 | orphaned | 061-p5-drift-guard | origin/061-p5-drift-guard | (none) | 0 | (none)
29 | orphaned | 061-selectable-app-language | origin/061-selectable-app-language | (none) | 0 | (none)
30 | orphaned | 061-us1-wizard-step | origin/061-us1-wizard-step | [behind 7] | 37 | .config/nextest.toml, .release-please-manifest.json, CHANGELOG.md
31 | orphaned | 061-us2-settings-ui | origin/061-us2-settings-ui | (none) | 0 | (none)
32 | orphaned | 061-us3-ptbr-catalog | origin/061-us3-ptbr-catalog | (none) | 0 | (none)
33 | orphaned | agent-a058133e51ce8f66b |  | (none) | n/a | (no upstream)
34 | orphaned | agent-a1eae5c09cf2755ae |  | (none) | n/a | (no upstream)
35 | orphaned | agent-a2412c68373faf361 |  | (none) | n/a | (no upstream)
36 | orphaned | agent-a36847fd6d790444d |  | (none) | n/a | (no upstream)
37 | orphaned | agent-a433f0d65cbab97e5 |  | (none) | n/a | (no upstream)
38 | orphaned | agent-a4ee7014a5e416d7a |  | (none) | n/a | (no upstream)
39 | orphaned | agent-a55bfe86e8eebd15a |  | (none) | n/a | (no upstream)
40 | orphaned | agent-a5c69db22e63b5547 |  | (none) | n/a | (no upstream)
41 | orphaned | agent-a5c9d8d32f55aed06 |  | (none) | n/a | (no upstream)
42 | orphaned | agent-a6e778f6a3cee193d |  | (none) | n/a | (no upstream)
43 | orphaned | agent-a73b3fe3d3ed141fd |  | (none) | n/a | (no upstream)
44 | orphaned | agent-a7968f58661cc1236 |  | (none) | n/a | (no upstream)
45 | orphaned | agent-a857a2a87cd3982c0 |  | (none) | n/a | (no upstream)
46 | orphaned | agent-a8697bc6a1881b4a9 |  | (none) | n/a | (no upstream)
47 | orphaned | agent-a8b0b116ce2ff7eaa |  | (none) | n/a | (no upstream)
48 | orphaned | agent-a914ffa2bfb72dbe0 |  | (none) | n/a | (no upstream)
49 | orphaned | agent-a9ab93097758a82ce |  | (none) | n/a | (no upstream)
50 | orphaned | agent-a9b326de9b08ab513 |  | (none) | n/a | (no upstream)
51 | orphaned | agent-a9e3953659036b10d |  | (none) | n/a | (no upstream)
52 | orphaned | agent-aa4a963627409beb8 |  | (none) | n/a | (no upstream)
53 | orphaned | agent-aa7481a9c6850317e |  | (none) | n/a | (no upstream)
54 | orphaned | agent-aaaecd1a4c3e86a93 |  | (none) | n/a | (no upstream)
55 | orphaned | agent-ab1cdae4b84d3acfd |  | (none) | n/a | (no upstream)
56 | orphaned | agent-ad40a268806f443a5 |  | (none) | n/a | (no upstream)
57 | orphaned | agent-adea39a2e071bb824 |  | (none) | n/a | (no upstream)
58 | orphaned | agent-ae8a645386a7b3aed |  | (none) | n/a | (no upstream)
59 | orphaned | agent-af04aa9853a956cc5 |  | (none) | n/a | (no upstream)
60 | orphaned | akon/project-lifecycle-auto-transitions | origin/akon/project-lifecycle-auto-transitions | (none) | 0 | (none)
61 | orphaned | audit/apm-drift-validator-20260721 |  | (none) | n/a | (no upstream)
62 | orphaned | audit/apm-drift-validator-20260721b |  | (none) | n/a | (no upstream)
63 | orphaned | audit/apm-recovery-20260721 | origin/main | [behind 11] | 78 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
64 | orphaned | backup-before-rebase-86636df7 |  | (none) | n/a | (no upstream)
65 | orphaned | backup-css-consolidation |  | (none) | n/a | (no upstream)
66 | orphaned | chore/712-retire-session-snapshot | origin/chore/712-retire-session-snapshot | [behind 34] | 158 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
67 | orphaned | chore/apm-beads-0-4-1 | origin/chore/apm-beads-0-4-1 | [behind 26] | 100 | .design-sync/conventions.md, .github/workflows/e2e.yml, Cargo.lock
68 | orphaned | chore/apm-install-beads | origin/chore/apm-install-beads | [ahead 26, behind 1] | 111 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
69 | orphaned | chore/apm-journey-campaign-issue-driven | origin/chore/apm-journey-campaign-issue-driven | (none) | 0 | (none)
70 | orphaned | chore/apm-pull-speckit-hook-fix | origin/chore/apm-pull-speckit-hook-fix | (none) | 0 | (none)
